epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3579.86,1.0032,0.8408,1.24058,0.87627,0.85324,0.90923,0.63302,1.06368,0.7163,1.38505,0.001684,0.001684,0.001684
86,3622.33,0.99835,0.83082,1.23941,0.87821,0.84682,0.90736,0.63388,1.0601,0.71387,1.3771,0.001585,0.001585,0.001585
87,3664.8,0.99618,0.8357,1.23281,0.86424,0.86231,0.91111,0.63365,1.0562,0.71329,1.37654,0.001486,0.001486,0.001486
88,3707.25,0.98969,0.82298,1.23732,0.87648,0.85494,0.91408,0.63616,1.05338,0.71485,1.37408,0.001387,0.001387,0.001387
89,3749.69,0.99071,0.82306,1.23107,0.88649,0.83993,0.91364,0.63529,1.05533,0.71066,1.37416,0.001288,0.001288,0.001288
90,3792.15,0.98134,0.81383,1.23124,0.88394,0.84337,0.91235,0.63447,1.05425,0.71752,1.37356,0.001189,0.001189,0.001189
91,3834.69,0.89963,0.61934,1.21493,0.86811,0.86403,0.9118,0.63606,1.05409,0.71258,1.37406,0.00109,0.00109,0.00109
92,3876.9,0.88071,0.60668,1.19969,0.87192,0.85532,0.91135,0.63666,1.0504,0.71035,1.37086,0.000991,0.000991,0.000991
93,3919.16,0.87151,0.59603,1.19758,0.88728,0.84165,0.9113,0.63792,1.04487,0.70774,1.36511,0.000892,0.000892,0.000892
94,3961.43,0.85658,0.58576,1.18533,0.88604,0.83993,0.91103,0.64011,1.03563,0.70705,1.35455,0.000793,0.000793,0.000793
95,4003.74,0.85478,0.58412,1.18263,0.87615,0.84012,0.9116,0.6407,1.03153,0.70178,1.35082,0.000694,0.000694,0.000694
96,4046.03,0.84572,0.58131,1.18116,0.86687,0.84854,0.90581,0.63861,1.02927,0.70053,1.34918,0.000595,0.000595,0.000595
97,4088.28,0.83622,0.57324,1.1704,0.86562,0.85373,0.90633,0.6384,1.02684,0.6997,1.34771,0.000496,0.000496,0.000496
98,4130.52,0.82825,0.57036,1.16269,0.86588,0.85559,0.90617,0.63928,1.02531,0.69808,1.34509,0.000397,0.000397,0.000397
99,4172.77,0.82515,0.56897,1.16874,0.87795,0.85428,0.90717,0.64288,1.02412,0.69687,1.34441,0.000298,0.000298,0.000298
100,4215.03,0.81815,0.56367,1.16092,0.87259,0.85886,0.90776,0.64126,1.02226,0.69464,1.34273,0.000199,0.000199,0.000199
